timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size
2026-07-15T21:31:32,gsea_dashboard,run_0000,3277.63,0.0055558291,1.695075e-06,20.14,0.4,5.65,0.01833652,0.00036418,0.00514406,0.02384476,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T01:01:32,gsea_dashboard,run_0001,264.49,0.000731126,2.764286e-06,34.25,3.17,5.29,0.00251633,0.0002329,0.00038865,0.00313788,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T04:31:32,gsea_dashboard,run_0002,1190.91,0.007090437,5.953798e-06,84.62,2.65,4.72,0.027993,0.00087664,0.00156142,0.03043106,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T08:01:32,gsea_dashboard,run_0003,2191.37,0.0046194137,2.108003e-06,21.94,3.51,7.12,0.01335518,0.00213659,0.00433404,0.01982581,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T11:31:32,gsea_dashboard,run_0004,2353.77,0.0115352755,4.900766e-06,68.83,3.6,3.29,0.04500277,0.00235377,0.00215108,0.04950762,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T15:01:32,gsea_dashboard,run_0005,1642.05,0.0039747633,2.42061e-06,30.99,1.69,4.72,0.01413531,0.00077085,0.00215291,0.01705907,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T18:31:32,gsea_dashboard,run_0006,1515.08,0.0029202053,1.927426e-06,21.66,2.13,5.99,0.00911573,0.00089642,0.00252092,0.01253307,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-16T22:01:32,gsea_dashboard,run_0007,1366.25,0.0028906702,2.11577e-06,25.68,4.61,2.4,0.00974592,0.00174956,0.00091083,0.01240631,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T01:31:32,gsea_dashboard,run_0008,2999.43,0.0055210515,1.8407e-06,21.53,0.48,6.43,0.01793826,0.00039992,0.00535732,0.0236955,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T05:01:32,gsea_dashboard,run_0009,2928.02,0.0117968692,4.028958e-06,53.95,2.93,5.37,0.04387963,0.00238308,0.00436763,0.05063034,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T08:31:32,gsea_dashboard,run_0010,1206.84,0.0024463858,2.0271e-06,23.56,1.77,5.99,0.0078981,0.00059336,0.00200805,0.01049951,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T12:01:32,gsea_dashboard,run_0011,2708.51,0.0152844738,5.64313e-06,75.77,3.61,7.81,0.05700661,0.00271603,0.00587596,0.0655986,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T15:31:32,gsea_dashboard,run_0012,2173.46,0.0064413316,2.96363e-06,39.62,2.89,3.28,0.02392013,0.00174481,0.00198026,0.0276452,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T19:01:32,gsea_dashboard,run_0013,2374.55,0.0058877143,2.479507e-06,30.7,0.54,7.07,0.02024963,0.00035618,0.00466335,0.02526916,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-17T22:31:32,gsea_dashboard,run_0014,1342.19,0.0067836389,5.054157e-06,68.38,2.87,6.84,0.02549415,0.00107002,0.00255016,0.02911433,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T02:01:32,gsea_dashboard,run_0015,3047.2,0.0183396327,6.01852e-06,83.22,4.09,5.68,0.07044111,0.00346196,0.0048078,0.07871087,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T05:31:32,gsea_dashboard,run_0016,2324.44,0.0042831085,1.842641e-06,16.84,4.65,6.98,0.01087321,0.0030024,0.00450683,0.01838244,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T09:01:32,gsea_dashboard,run_0017,984.79,0.0022301851,2.26463e-06,27.63,3.51,3.85,0.00755826,0.00096017,0.00105318,0.00957161,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T12:31:32,gsea_dashboard,run_0018,1243.17,0.0020260002,1.629705e-06,15.43,4.35,5.4,0.00532836,0.00150216,0.00186476,0.00869528,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T16:01:32,gsea_dashboard,run_0019,1460.8,0.0028628617,1.95979e-06,24.93,3.17,2.18,0.01011604,0.00128632,0.0008846,0.01228696,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T19:31:32,gsea_dashboard,run_0020,2693.62,0.0063127459,2.343592e-06,30.06,2.1,4.05,0.02249173,0.00157128,0.00303032,0.02709333,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-18T23:01:32,gsea_dashboard,run_0021,1351.09,0.0065409251,4.841221e-06,65.51,3.88,5.41,0.02458608,0.00145617,0.00203039,0.02807264,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-19T02:31:32,gsea_dashboard,run_0022,333.3,0.0005431812,1.629707e-06,18.68,0.79,5.71,0.00172946,7.314e-05,0.00052865,0.00233125,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-19T06:01:32,gsea_dashboard,run_0023,2436.07,0.0066646202,2.735808e-06,34.05,3.31,4.91,0.02304116,0.00223983,0.00332253,0.02860352,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
2026-07-19T09:31:32,gsea_dashboard,run_0024,1608.1,0.0042225169,2.62578e-06,34.12,3.77,2.68,0.01524121,0.00168404,0.00119714,0.01812239,United Kingdom,GBR,england,gcp,europe-west2,Linux-5.15,3.12.0,4,Intel Xeon E5-2670,0,,8.0
